[ |2021-10-07 06:51:42.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 06:51:42.000000| ][CConexion::GetConectionDataBase] ERR Abrir Conexion [SQLSTATE[HY000] [1049] Unknown database acopadelsaber_prueba] 
[ |2021-10-07 06:51:42.000000| ][CDataBase::getConsulta] Error en la conexion: --
[ |2021-10-07 06:51:42.000000| ][modelRankingUsuarios::GetJornada] Ocurrio un error[Error en la conexion: --] 
[ |2021-10-07 06:51:58.000000| ][C:\xampp\htdocs\RankingUsuarios\Controller\ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 06:51:58.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 06:51:58.000000| ][CConexion::GetConectionDataBase] ERR Abrir Conexion [SQLSTATE[HY000] [1049] Unknown database acopadelsaber_prueba] 
[ |2021-10-07 06:51:58.000000| ][modelRankingUsuarios::GetJornada] Ocurrio un error[] 
[ |2021-10-07 06:54:30.000000| ][C:\xampp\htdocs\RankingUsuarios\Controller\ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 06:54:30.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 06:54:30.000000| ][CConexion::GetConectionDataBase] ERR Abrir Conexion [SQLSTATE[HY000] [1049] Unknown database acopadelsaber_prueba] 
[ |2021-10-07 06:54:30.000000| ][modelRankingUsuarios::GetJornada] Ocurrio un error[] 
[ |2021-10-07 06:56:12.000000| ][C:\xampp\htdocs\RankingUsuarios\Controller\ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 06:56:12.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 06:56:12.000000| ][CConexion::GetConectionDataBase] ERR Abrir Conexion [SQLSTATE[HY000] [1049] Unknown database acopadelsaber_prueba] 
[ |2021-10-07 06:56:12.000000| ][modelRankingUsuarios::GetJornada] Ocurrio un error[] 
[ |2021-10-07 06:56:14.000000| ][C:\xampp\htdocs\RankingUsuarios\Controller\ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 06:56:14.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 06:56:14.000000| ][CConexion::GetConectionDataBase] ERR Abrir Conexion [SQLSTATE[HY000] [1049] Unknown database acopadelsaber_prueba] 
[ |2021-10-07 06:56:14.000000| ][modelRankingUsuarios::GetJornada] Ocurrio un error[] 
[ |2021-10-07 07:03:06.000000| ][C:\xampp\htdocs\RankingUsuarios\Controller\ctrlRankingUsuarios.php] [GetJornada] 
